round,train_loss,val_loss,train_acc,val_acc
1,1.474872587028059,1.6143745924171962,0.756865464632455,0.7481296758104738
2,0.9815631134665459,1.0700157421485443,0.8206657420249653,0.8117206982543641
3,0.7551253751974331,0.8398548663405706,0.8497919556171983,0.8329177057356608
4,0.7212979681696872,0.7578127207304177,0.8619972260748959,0.8528678304239401
5,0.5543029897503978,0.5930201987970499,0.8893203883495145,0.8765586034912718
6,0.5313797658466929,0.5630929301727442,0.9019417475728155,0.8915211970074813
7,0.4713425120558388,0.5036996935222512,0.9123439667128987,0.8977556109725686
8,0.4240671981100236,0.4525335496500543,0.9235783633841886,0.9077306733167082
9,0.3775127139112986,0.3869652536481693,0.932871012482663,0.9214463840399002
10,0.3491967660151474,0.35990370728279886,0.9393897364771151,0.9239401496259352
11,0.3312843818935706,0.33300972503245324,0.9450762829403606,0.9364089775561097
12,0.31015372015277487,0.2930571298832608,0.9492371705963939,0.9389027431421446
13,0.28944977649207254,0.2636442007566628,0.9517337031900138,0.9389027431421446
14,0.27402750912345897,0.2435164261618606,0.9571428571428572,0.9501246882793017
15,0.25157103821862586,0.22304785681279965,0.9583911234396671,0.9476309226932669
16,0.2600288670473886,0.22446260144446334,0.9589459084604716,0.9513715710723192
17,0.24350873571555756,0.2038322366318872,0.9631067961165048,0.956359102244389
18,0.23980081570999964,0.2106538724823114,0.9614424410540915,0.9526184538653366
19,0.23292123150808966,0.19559496019658007,0.9653259361997226,0.9600997506234414
20,0.2168754048335486,0.17426115584134722,0.9697642163661581,0.9638403990024937
21,0.20877547960382228,0.15210664037387456,0.9705963938973647,0.9688279301745636
22,0.21199705827046036,0.16527338740659733,0.9707350901525659,0.9663341645885287
23,0.21172046583099355,0.16557483058864078,0.9726768377253814,0.9675810473815462
24,0.2004714080399928,0.13530370492274477,0.9735090152565881,0.972568578553616
25,0.20163265333902322,0.1387351094570912,0.9740638002773925,0.9738154613466334
26,0.19547057721851685,0.12888572481344746,0.9764216366158114,0.9738154613466334
27,0.19751678303235448,0.1297080656339384,0.9766990291262136,0.972568578553616
28,0.19518408713947552,0.12259147600317258,0.9773925104022192,0.972568578553616
29,0.19689210191234718,0.12620134123988877,0.9779472954230236,0.9738154613466334
30,0.19072082423025047,0.11743041511393963,0.9778085991678225,0.9775561097256857
