round,train_loss,val_loss,train_acc,val_acc
1,0.6899233351624859,0.8671707194226957,0.7529542610871681,0.7567221510883483
2,0.5153073269817405,0.6165188367785015,0.8138467954956208,0.8207426376440461
3,0.44768791440364203,0.5233879787286937,0.8394272209092173,0.8361075544174136
4,0.38422833714335347,0.4546132012152336,0.8644515501181704,0.8591549295774648
5,0.34121724761412403,0.39152062164378687,0.883497845127207,0.8719590268886044
6,0.29359668272643363,0.34158864327337923,0.9026831641874045,0.8962868117797695
7,0.27902604089515126,0.33676222027798164,0.911441679410538,0.9026888604353394
8,0.24260393743196482,0.29449119639228766,0.9252050604754622,0.9206145966709347
9,0.2262450198163977,0.2675317957825606,0.9289587098568052,0.9282970550576184
10,0.20650161278648899,0.23573754815606546,0.9364660086194911,0.9282970550576184
11,0.19411812763908187,0.23539565026607465,0.9416098985124427,0.9372599231754162
12,0.17659381364277865,0.2080483819702676,0.9475879327123592,0.939820742637644
13,0.16792679434295457,0.19635588627084422,0.9518976782983456,0.941101152368758
14,0.15645684780500935,0.1882035490912451,0.9537049909634366,0.9475032010243278
15,0.1498868457675726,0.17309934537137517,0.9578757124982622,0.9526248399487837
16,0.14636651543185922,0.17190442721761295,0.9592659530098707,0.9526248399487837
17,0.13806985449069203,0.16421147071483347,0.9613513137772834,0.9526248399487837
18,0.12730408997176404,0.14292148608480618,0.9658000834144307,0.9615877080665813
19,0.12238692457132672,0.13613899191424117,0.9676073960795217,0.9615877080665813
20,0.12221370020902789,0.1366270697948722,0.9676073960795217,0.9615877080665813
21,0.1161064118961043,0.12536630869178858,0.968302516335326,0.9654289372599232
22,0.11590294423917728,0.12152713596362921,0.9692756846934519,0.9654289372599232
23,0.11352711939845267,0.12832572317840807,0.9717781176143473,0.9641485275288092
24,0.10789749547777017,0.11396640064087475,0.9726122619213123,0.9654289372599232
25,0.11083714224850785,0.11533765980399067,0.9723342138189907,0.9654289372599232
26,0.10780160955646581,0.10425181078239226,0.9715000695120256,0.9731113956466069
27,0.10583198792796365,0.11052840172042462,0.9744195745864035,0.971830985915493
28,0.10520657780259769,0.10824588973375655,0.9752537188933685,0.970550576184379
29,0.10062339015478022,0.10509817034158755,0.9753927429445294,0.969270166453265
30,0.10039036500156465,0.10860858762710714,0.9770610315584596,0.9731113956466069
